timestamp,relogoRun,boidBoidCollisions,boidObstacleCollisions,flocksMaxSize,flocksNumber
0,0,0,0,0,0
1,1,0,0,5,12
2,1,0,0,5,11
3,1,0,1,5,13
4,1,0,1,5,13
5,1,0,1,5,12
6,1,0,1,10,11
7,1,0,0,10,11
8,1,0,0,10,11
9,1,0,0,10,11
10,1,0,0,10,11
11,1,0,0,10,11
12,1,0,0,10,11
13,1,0,0,10,11
14,1,0,0,5,12
15,1,0,0,5,12
16,1,0,0,5,12
17,1,0,0,5,12
18,1,0,0,5,12
19,1,0,0,5,12
20,1,0,0,5,12
21,1,0,0,5,12
22,1,0,0,5,12
23,1,0,0,5,12
24,1,0,0,6,11
25,1,0,0,6,11
26,1,0,0,6,11
27,1,0,0,6,11
28,1,1,0,6,11
29,1,1,0,6,11
30,1,1,0,6,10
31,1,1,0,6,10
32,1,2,0,6,10
33,1,1,0,6,10
34,1,2,0,6,9
35,1,1,0,6,8
36,1,0,0,6,8
37,1,0,0,6,8
38,1,1,0,6,7
39,1,2,0,6,7
40,1,2,0,6,7
41,1,2,0,6,7
42,1,2,1,6,7
43,1,1,1,6,7
44,1,1,1,6,7
45,1,0,1,6,7
46,1,0,0,6,7
47,1,0,0,6,7
48,1,0,0,6,7
49,1,0,0,6,7
50,1,0,0,6,7
51,1,0,0,6,7
52,1,0,0,6,7
53,1,0,0,6,6
54,1,0,0,6,7
55,1,0,0,6,6
56,1,0,0,6,6
57,1,0,0,10,5
58,1,0,0,10,5
59,1,0,0,10,5
60,1,0,0,10,5
61,1,0,0,10,5
62,1,0,0,10,5
63,1,0,0,10,5
64,1,0,0,10,5
65,1,0,0,10,5
66,1,0,0,10,5
67,1,1,0,10,5
68,1,1,0,10,5
69,1,1,0,10,5
70,1,1,0,10,5
71,1,1,0,10,5
72,1,1,0,10,5
73,1,1,0,10,5
74,1,0,0,10,5
75,1,0,0,10,5
76,1,0,0,10,5
77,1,0,0,10,5
78,1,1,0,10,5
79,1,1,0,10,5
80,1,1,0,10,5
81,1,1,0,10,5
82,1,1,0,10,5
83,1,1,0,10,5
84,1,0,0,10,5
85,1,0,0,10,5
86,1,0,0,10,5
87,1,0,0,10,5
88,1,0,0,10,5
89,1,0,0,10,5
90,1,0,0,10,5
91,1,0,0,10,5
92,1,0,0,10,5
93,1,0,0,10,5
94,1,0,0,10,5
95,1,0,0,10,5
96,1,0,1,10,5
97,1,0,1,10,5
98,1,0,1,10,5
99,1,0,0,10,5
100,1,0,0,10,5
101,1,0,0,10,5
102,1,0,0,10,5
103,1,0,0,10,5
104,1,0,0,10,5
105,1,0,0,10,5
106,1,0,0,10,5
107,1,0,0,10,4
108,1,0,0,10,4
109,1,0,0,10,4
110,1,0,0,10,4
111,1,0,0,10,4
112,1,0,0,10,4
113,1,0,0,10,4
114,1,1,0,10,4
115,1,1,0,10,4
116,1,1,0,10,4
117,1,1,0,10,4
118,1,1,0,7,5
119,1,1,0,7,5
120,1,1,1,10,5
121,1,0,1,7,6
122,1,0,1,10,4
123,1,1,1,10,5
124,1,2,0,10,4
125,1,2,0,10,4
126,1,2,0,10,4
127,1,1,0,10,4
128,1,1,0,10,4
129,1,0,0,10,4
130,1,0,0,10,4
131,1,1,0,10,4
132,1,1,0,10,4
133,1,1,0,10,4
134,1,1,0,10,4
135,1,1,0,10,4
136,1,1,0,10,4
137,1,1,0,10,4
138,1,1,0,10,4
139,1,1,0,10,4
140,1,1,0,10,4
141,1,1,0,10,4
142,1,2,1,10,4
143,1,2,1,10,4
144,1,0,1,10,4
145,1,1,0,10,4
146,1,2,0,10,4
147,1,2,1,10,4
148,1,2,1,10,4
149,1,2,2,10,4
150,1,1,1,10,4
151,1,2,0,10,4
152,1,2,0,10,4
153,1,2,0,10,4
154,1,2,0,10,4
155,1,2,0,10,4
156,1,1,0,10,4
157,1,2,0,10,4
158,1,2,0,10,4
159,1,2,0,10,4
160,1,2,0,10,4
161,1,1,0,10,4
162,1,1,0,10,4
163,1,1,0,10,4
164,1,1,0,10,4
165,1,1,0,10,4
166,1,2,0,10,4
167,1,2,0,10,4
168,1,2,0,10,4
169,1,1,0,10,4
170,1,2,0,10,4
171,1,1,0,10,4
172,1,1,0,10,4
173,1,3,0,10,4
174,1,4,0,10,4
175,1,4,0,10,4
176,1,2,0,10,4
177,1,2,0,10,4
178,1,1,0,10,4
179,1,1,0,10,4
180,1,0,0,10,4
181,1,3,1,10,4
182,1,3,2,10,4
183,1,2,1,10,4
184,1,4,1,10,4
185,1,3,0,10,4
186,1,3,0,10,4
187,1,3,0,10,4
188,1,3,0,10,4
189,1,3,0,10,4
190,1,2,0,10,4
191,1,3,0,10,4
192,1,2,0,10,4
193,1,2,0,10,4
194,1,2,0,10,4
195,1,2,0,10,4
196,1,2,0,10,4
197,1,2,0,10,4
198,1,1,0,10,3
199,1,1,0,10,3
200,1,2,0,10,3
201,1,1,0,10,3
202,1,1,0,10,3
203,1,0,0,10,3
204,1,0,0,10,3
205,1,1,0,10,3
206,1,1,0,10,3
207,1,2,0,10,3
208,1,2,0,10,3
209,1,2,0,10,3
210,1,3,0,10,3
211,1,4,0,10,3
212,1,2,0,10,3
213,1,3,0,10,3
214,1,3,0,10,3
215,1,3,0,10,3
216,1,1,0,10,3
217,1,4,0,10,3
218,1,2,0,10,3
219,1,3,0,10,3
220,1,3,0,10,3
221,1,1,0,10,3
222,1,1,0,10,3
223,1,1,0,10,3
224,1,3,0,10,3
225,1,1,0,10,3
226,1,0,0,10,3
227,1,1,0,10,3
228,1,0,0,10,3
229,1,1,0,10,3
230,1,0,0,10,3
231,1,1,0,10,3
232,1,1,0,10,3
233,1,1,0,10,3
234,1,1,0,10,3
235,1,1,0,10,3
236,1,1,0,10,3
237,1,2,0,10,3
238,1,1,0,10,3
239,1,2,0,10,3
240,1,2,0,10,3
241,1,2,0,10,3
242,1,1,0,10,3
243,1,1,0,10,3
244,1,1,0,10,3
245,1,2,0,10,3
246,1,3,0,10,3
247,1,2,0,10,3
248,1,3,0,10,3
249,1,2,0,10,3
250,1,3,0,10,3
251,1,3,0,10,3
252,1,5,0,10,3
253,1,5,0,10,3
254,1,5,0,10,3
255,1,6,0,10,3
256,1,4,0,15,2
257,1,3,0,15,2
258,1,3,0,15,2
259,1,3,0,15,2
260,1,2,0,15,2
261,1,1,0,15,2
262,1,1,0,15,2
263,1,1,0,15,2
264,1,1,0,15,2
265,1,1,0,15,2
266,1,2,0,15,2
267,1,3,0,15,2
268,1,1,0,15,2
269,1,2,0,15,2
270,1,0,0,15,2
271,1,1,0,15,2
272,1,0,0,15,2
273,1,0,0,15,2
274,1,0,0,15,2
275,1,0,0,15,2
276,1,1,0,15,2
277,1,1,0,15,2
278,1,1,0,15,2
279,1,1,0,15,2
280,1,0,0,15,2
281,1,0,0,15,2
282,1,1,0,15,2
283,1,0,0,15,2
284,1,2,0,15,2
285,1,3,0,15,2
286,1,3,0,15,2
287,1,1,0,15,2
288,1,2,0,15,2
289,1,3,0,15,2
290,1,3,0,15,2
291,1,4,0,15,2
292,1,5,0,15,2
293,1,5,0,15,2
294,1,6,0,15,2
295,1,7,0,15,2
296,1,11,0,15,2
297,1,10,0,15,2
298,1,11,0,15,2
299,1,5,0,15,2
300,1,8,0,15,2
301,1,7,0,15,2
302,1,7,0,15,2
303,1,2,0,15,2
304,1,5,0,15,2
305,1,1,0,15,2
306,1,1,0,15,2
307,1,1,0,15,2
308,1,1,0,15,2
309,1,1,0,15,2
310,1,0,0,15,2
311,1,0,0,15,2
312,1,0,0,15,2
313,1,0,0,15,2
314,1,0,0,15,2
315,1,0,0,15,2
316,1,0,0,15,2
317,1,0,0,15,2
318,1,0,0,15,2
319,1,0,0,15,2
320,1,0,0,15,2
321,1,0,0,15,2
322,1,0,0,15,2
323,1,0,0,15,2
324,1,0,0,15,2
325,1,0,0,15,2
326,1,1,0,15,2
327,1,1,0,15,2
328,1,0,0,15,2
329,1,1,0,15,2
330,1,0,0,15,2
331,1,1,0,15,2
332,1,0,0,15,2
333,1,1,0,15,2
334,1,0,0,15,2
335,1,0,0,15,2
336,1,1,0,15,2
337,1,1,0,15,2
338,1,0,0,15,2
339,1,0,0,15,2
340,1,0,0,15,2
341,1,0,0,15,2
342,1,1,0,15,2
343,1,0,0,15,2
344,1,1,0,15,2
345,1,0,0,15,2
346,1,0,0,15,2
347,1,0,0,15,2
348,1,0,0,15,2
349,1,1,0,15,2
350,1,0,0,15,2
351,1,0,0,15,2
352,1,0,0,15,2
353,1,0,0,15,2
354,1,1,0,15,2
355,1,0,0,15,2
356,1,1,0,15,2
357,1,0,0,15,2
358,1,0,0,15,2
359,1,0,0,15,2
360,1,2,0,15,2
361,1,2,0,15,2
362,1,2,0,15,2
363,1,1,0,15,2
364,1,1,0,15,2
365,1,2,0,15,2
366,1,1,0,15,2
367,1,1,0,15,2
368,1,0,0,15,2
369,1,0,0,15,2
370,1,0,0,15,2
371,1,0,0,15,2
372,1,0,0,15,2
373,1,0,0,15,2
374,1,0,0,15,2
375,1,0,0,15,2
376,1,1,0,15,2
377,1,1,0,15,2
378,1,0,0,15,2
379,1,0,0,15,2
380,1,0,0,15,2
381,1,0,0,15,2
382,1,0,0,15,2
383,1,0,0,15,2
384,1,1,0,15,2
385,1,0,0,15,2
386,1,0,0,15,2
387,1,1,0,15,2
388,1,0,0,15,2
389,1,0,0,15,2
390,1,0,0,15,2
391,1,1,0,15,2
392,1,0,0,15,2
393,1,0,0,15,2
394,1,1,0,15,2
395,1,0,0,15,2
396,1,1,0,15,2
397,1,1,0,14,3
398,1,2,0,25,1
399,1,3,0,24,2
400,1,2,0,24,2
401,1,2,0,25,1
402,1,1,0,24,2
403,1,1,0,24,2
404,1,2,0,24,2
405,1,1,0,24,2
406,1,1,0,24,2
407,1,2,0,24,2
408,1,1,0,24,2
409,1,1,0,24,2
410,1,3,0,24,2
411,1,0,0,24,2
412,1,2,0,24,2
413,1,1,0,24,2
414,1,3,0,24,2
415,1,1,0,24,2
416,1,2,0,24,2
417,1,2,0,24,2
418,1,2,0,24,2
419,1,2,0,24,2
420,1,2,0,24,2
421,1,1,0,24,2
422,1,3,0,24,2
423,1,2,0,24,2
424,1,2,0,24,2
425,1,0,0,24,2
426,1,2,0,24,2
427,1,1,0,24,2
428,1,1,0,24,2
429,1,1,0,24,2
430,1,0,0,24,2
431,1,1,0,24,2
432,1,2,0,24,2
433,1,0,0,24,2
434,1,1,0,24,2
435,1,0,0,24,2
436,1,0,0,24,2
437,1,1,0,24,2
438,1,1,0,24,2
439,1,1,0,24,2
440,1,0,0,24,2
441,1,0,0,24,2
442,1,0,0,24,2
443,1,1,0,24,2
444,1,0,0,24,2
445,1,1,0,24,2
446,1,2,0,24,2
447,1,3,0,24,2
448,1,2,0,24,2
449,1,1,0,24,2
450,1,2,0,24,2
451,1,2,0,24,2
452,1,3,0,24,2
453,1,1,0,24,2
454,1,1,0,24,2
455,1,1,0,24,2
456,1,1,0,24,2
457,1,1,0,24,2
458,1,1,0,24,2
459,1,0,0,24,2
460,1,1,0,24,2
461,1,0,0,24,2
462,1,0,0,24,2
463,1,1,0,24,2
464,1,0,0,24,2
465,1,1,0,24,2
466,1,0,0,24,2
467,1,1,0,24,2
468,1,1,0,24,2
469,1,0,0,24,2
470,1,1,0,24,2
471,1,1,0,24,2
472,1,1,0,24,2
473,1,0,0,24,2
474,1,1,0,24,2
475,1,1,0,24,2
476,1,2,0,24,2
477,1,1,0,24,2
478,1,2,0,24,2
479,1,1,0,24,2
480,1,0,0,24,2
481,1,0,0,24,2
482,1,0,0,24,2
483,1,1,0,24,2
484,1,1,0,24,2
485,1,1,0,24,2
486,1,1,0,24,2
487,1,1,0,24,2
488,1,1,0,24,2
489,1,1,0,24,2
490,1,2,0,24,2
491,1,1,0,24,2
492,1,1,0,24,2
493,1,1,0,24,2
494,1,1,0,24,2
495,1,0,0,24,2
496,1,0,0,24,2
497,1,1,0,24,2
498,1,1,0,24,2
499,1,1,0,24,2
500,1,2,0,24,2
501,1,1,0,24,2
502,1,0,0,24,2
503,1,0,0,24,2
504,1,1,0,24,2
505,1,1,0,24,2
506,1,1,0,24,2
507,1,1,0,24,2
508,1,1,0,24,2
509,1,1,0,24,2
510,1,2,0,24,2
511,1,1,0,24,2
512,1,1,0,25,1
513,1,1,0,25,1
514,1,2,0,25,1
515,1,1,0,25,1
516,1,2,0,25,1
517,1,1,0,25,1
518,1,1,0,25,1
519,1,2,0,25,1
520,1,0,0,25,1
521,1,0,0,25,1
522,1,0,0,25,1
523,1,0,0,25,1
524,1,1,0,25,1
525,1,0,0,25,1
526,1,1,0,25,1
527,1,0,0,25,1
